model,fpr,tpr
元学习全候选,0.009098567818028643,0.7160493827160493
元学习全候选,0.009435551811288963,0.7160493827160493
元学习全候选,0.009435551811288963,0.7407407407407407
元学习全候选,0.009772535804549284,0.7407407407407407
元学习全候选,0.009772535804549284,0.7777777777777778
元学习全候选,0.010614995787700084,0.7777777777777778
元学习全候选,0.010614995787700084,0.7901234567901234
元学习全候选,0.010951979780960405,0.7901234567901234
元学习全候选,0.010951979780960405,0.8024691358024691
元学习全候选,0.011457455770850885,0.8024691358024691
元学习全候选,0.011457455770850885,0.8271604938271605
元学习全候选,0.012636899747262006,0.8271604938271605
元学习全候选,0.012636899747262006,0.8888888888888888
元学习全候选,0.013647851727042965,0.8888888888888888
元学习全候选,0.013647851727042965,0.9012345679012346
元学习全候选,0.013816343723673125,0.9012345679012346
元学习全候选,0.013816343723673125,0.9135802469135802
元学习全候选,0.014490311710193765,0.9135802469135802
元学习全候选,0.014490311710193765,0.9259259259259259
元学习全候选,0.02291491154170177,0.9259259259259259
元学习全候选,0.02291491154170177,0.9382716049382716
元学习全候选,0.02948609941027801,0.9382716049382716
元学习全候选,0.02948609941027801,0.9506172839506173
元学习全候选,0.038416175231676494,0.9506172839506173
元学习全候选,0.038416175231676494,0.9629629629629629
元学习全候选,0.05543386689132266,0.9629629629629629
元学习全候选,0.05543386689132266,0.9753086419753086
元学习全候选,0.05577085088458298,0.9753086419753086
元学习全候选,0.05577085088458298,0.9876543209876543
元学习全候选,0.07750631844987363,0.9876543209876543
元学习全候选,0.07750631844987363,1.0
元学习全候选,0.45071609098567816,1.0
元学习全候选,0.4510530749789385,1.0
元学习全候选,1.0,1.0
堆叠融合,0.0,0.0
堆叠融合,0.0,0.012345679012345678
堆叠融合,0.0,0.1728395061728395
堆叠融合,0.00016849199663016007,0.1728395061728395
堆叠融合,0.00016849199663016007,0.18518518518518517
堆叠融合,0.00033698399326032014,0.18518518518518517
堆叠融合,0.00033698399326032014,0.19753086419753085
堆叠融合,0.0005054759898904802,0.19753086419753085
堆叠融合,0.0005054759898904802,0.20987654320987653
堆叠融合,0.0006739679865206403,0.20987654320987653
堆叠融合,0.0006739679865206403,0.2222222222222222
堆叠融合,0.0008424599831508003,0.2222222222222222
堆叠融合,0.0008424599831508003,0.2345679012345679
堆叠融合,0.0010109519797809603,0.2345679012345679
堆叠融合,0.0010109519797809603,0.24691358024691357
堆叠融合,0.0011794439764111204,0.24691358024691357
堆叠融合,0.0011794439764111204,0.25925925925925924
堆叠融合,0.0015164279696714407,0.25925925925925924
堆叠融合,0.0015164279696714407,0.2716049382716049
堆叠融合,0.0018534119629317607,0.2716049382716049
堆叠融合,0.0018534119629317607,0.2839506172839506
堆叠融合,0.0020219039595619206,0.2839506172839506
堆叠融合,0.0020219039595619206,0.2962962962962963
堆叠融合,0.002527379949452401,0.2962962962962963
堆叠融合,0.002527379949452401,0.345679012345679
堆叠融合,0.0032013479359730415,0.345679012345679
堆叠融合,0.0032013479359730415,0.35802469135802467
堆叠融合,0.0035383319292333613,0.35802469135802467
堆叠融合,0.0035383319292333613,0.37037037037037035
堆叠融合,0.0037068239258635214,0.37037037037037035
堆叠融合,0.0037068239258635214,0.38271604938271603
堆叠融合,0.0038753159224936815,0.38271604938271603
堆叠融合,0.0038753159224936815,0.3950617283950617
堆叠融合,0.004043807919123841,0.3950617283950617
堆叠融合,0.004043807919123841,0.4074074074074074
堆叠融合,0.005054759898904802,0.4074074074074074
堆叠融合,0.005054759898904802,0.41975308641975306
堆叠融合,0.005560235888795282,0.41975308641975306
堆叠融合,0.005560235888795282,0.4444444444444444
堆叠融合,0.006571187868576242,0.4444444444444444
堆叠融合,0.006571187868576242,0.4567901234567901
堆叠融合,0.006739679865206402,0.4567901234567901
堆叠融合,0.006739679865206402,0.4691358024691358
堆叠融合,0.007750631844987363,0.4691358024691358
堆叠融合,0.007750631844987363,0.49382716049382713
堆叠融合,0.008593091828138163,0.49382716049382713
堆叠融合,0.008593091828138163,0.5061728395061729
