model,recall,precision
元学习全候选,1.0,0.013604299630500504
元学习全候选,1.0,0.013606584915168822
元学习全候选,1.0,0.013608870967741936
元学习全候选,1.0,0.013611157788606956
元学习全候选,1.0,0.01361344537815126
元学习全候选,1.0,0.01361573373676248
元学习全候选,1.0,0.013618022864828513
元学习全候选,1.0,0.013620312762737515
元学习全候选,1.0,0.013622603430877902
元学习全候选,1.0,0.013624894869638351
元学习全候选,1.0,0.013627187079407806
元学习全候选,1.0,0.013629480060575468
元学习全候选,1.0,0.013631773813530798
元学习全候选,1.0,0.013634068338663525
元学习全候选,1.0,0.013636363636363636
元学习全候选,1.0,0.013638659707021383
元学习全候选,1.0,0.013640956551027282
元学习全候选,1.0,0.013643254168772108
元学习全候选,1.0,0.0136455525606469
元学习全候选,1.0,0.013647851727042965
元学习全候选,1.0,0.013650151668351871
元学习全候选,1.0,0.013652452384965447
元学习全候选,1.0,0.013654753877275792
元学习全候选,1.0,0.013657056145675266
元学习全候选,1.0,0.013659359190556492
元学习全候选,1.0,0.013661663012312362
元学习全候选,1.0,0.013663967611336033
元学习全候选,1.0,0.01366627298802092
元学习全候选,1.0,0.013668579142760715
元学习全候选,1.0,0.013670886075949367
元学习全候选,1.0,0.013673193787981094
元学习全候选,1.0,0.01367550227925038
元学习全候选,1.0,0.013677811550151976
元学习全候选,1.0,0.013680121601080899
元学习全候选,1.0,0.013682432432432433
元学习全候选,1.0,0.013684744044602128
元学习全候选,1.0,0.013687056437985807
元学习全候选,1.0,0.01368936961297955
元学习全候选,1.0,0.013691683569979716
元学习全候选,1.0,0.013693998309382924
元学习全候选,1.0,0.013696313831586067
元学习全候选,1.0,0.0136986301369863
元学习全候选,1.0,0.013700947225981055
元学习全候选,1.0,0.013703265098968026
元学习全候选,1.0,0.013705583756345178
元学习全候选,1.0,0.013707903198510746
元学习全候选,1.0,0.013710223425863236
元学习全候选,1.0,0.013712544438801422
元学习全候选,1.0,0.013714866237724348
元学习全候选,1.0,0.013717188823031329
元学习全候选,1.0,0.013719512195121951
元学习全候选,1.0,0.01372183635439607
元学习全候选,1.0,0.013724161301253812
元学习全候选,1.0,0.013726487036095577
元学习全候选,1.0,0.013728813559322034
元学习全候选,1.0,0.013731140871334124
元学习全候选,1.0,0.013733468972533061
元学习全候选,1.0,0.013735797863320333
元学习全候选,1.0,0.013738127544097693
元学习全候选,1.0,0.013740458015267175
元学习全候选,1.0,0.013742789277231082
元学习全候选,1.0,0.01374512133039199
元学习全候选,1.0,0.01374745417515275
元学习全候选,1.0,0.013749787811916483
元学习全候选,1.0,0.013752122241086587
元学习全候选,1.0,0.013754457463066735
元学习全候选,1.0,0.01375679347826087
元学习全候选,1.0,0.013759130287073212
元学习全候选,1.0,0.013761467889908258
元学习全候选,1.0,0.013763806287170773
元学习全候选,1.0,0.013766145479265806
元学习全候选,1.0,0.013768485466598673
元学习全候选,1.0,0.013770826249574975
元学习全候选,1.0,0.013773167828600578
元学习全候选,1.0,0.013775510204081633
元学习全候选,1.0,0.013777853376424561
元学习全候选,1.0,0.013780197346036067
元学习全候选,1.0,0.013782542113323124
元学习全候选,1.0,0.013784887678692988
元学习全候选,1.0,0.01378723404255319
元学习全候选,1.0,0.013789581205311542
元学习全候选,1.0,0.013791929167376128
元学习全候选,1.0,0.013794277929155314
元学习全候选,1.0,0.013796627491057742
元学习全候选,1.0,0.013798977853492335
元学习全候选,1.0,0.01380132901686829
元学习全候选,1.0,0.013803680981595092
元学习全候选,1.0,0.013806033748082496
元学习全候选,1.0,0.013808387316740538
元学习全候选,1.0,0.01381074168797954
元学习全候选,1.0,0.013813096862210095
元学习全候选,1.0,0.013815452839843085
元学习全候选,1.0,0.013817809621289662
元学习全候选,1.0,0.013820167206961269
元学习全候选,1.0,0.013822525597269625
元学习全候选,1.0,0.013824884792626729
元学习全候选,1.0,0.013827244793444863
元学习全候选,1.0,0.013829605600136588
元学习全候选,1.0,0.013831967213114754
元学习全候选,1.0,0.013834329632792484
元学习全候选,1.0,0.01383669285958319
元学习全候选,1.0,0.013839056893900564
元学习全候选,1.0,0.013841421736158578
元学习全候选,1.0,0.013843787386771491
元学习全候选,1.0,0.013846153846153847
元学习全候选,1.0,0.013848521114720465
元学习全候选,1.0,0.013850889192886457
元学习全候选,1.0,0.013853258081067214
元学习全候选,1.0,0.013855627779678413
元学习全候选,1.0,0.013857998289136014
元学习全候选,1.0,0.013860369609856264
元学习全候选,1.0,0.01386274174225569
元学习全候选,1.0,0.013865114686751112
元学习全候选,1.0,0.01386748844375963
元学习全候选,1.0,0.01386986301369863
元学习全候选,1.0,0.013872238396985785
元学习全候选,1.0,0.013874614594039054
元学习全候选,1.0,0.013876991605276683
元学习全候选,1.0,0.013879369431117203
元学习全候选,1.0,0.013881748071979434
元学习全候选,1.0,0.013884127528282482
元学习全候选,1.0,0.01388650780044574
元学习全候选,1.0,0.013888888888888888
元学习全候选,1.0,0.013891270794031898
