station,date,idx30_obs,pred_stack,pred_meta,pred_gru,pred_ridge
金江街,2023-04-27,-1.670851008307846,-1.6569373746822544,-1.639781642892178,-1.6285573515976888,-1.666096429619888
金江街,2023-04-28,-1.6721242699730148,-1.6654218680551802,-1.6489492456004309,-1.636088531108488,-1.667748998606289
金江街,2023-04-29,-1.668097913854208,-1.6581236152937573,-1.6398031310377628,-1.6283742868435918,-1.6624397645803664
金江街,2023-04-30,-1.6677205060375582,-1.6558376802482724,-1.636121060124456,-1.6257916729261945,-1.659083221264812
金江街,2023-05-01,-1.6678959727733267,-1.6650762769402798,-1.642182972841024,-1.6341813097890532,-1.6702599062257133
金江街,2023-05-02,-1.6763359465076102,-1.661346006098203,-1.6398653398128256,-1.6290461178704627,-1.6573834021019318
金江街,2023-05-03,-1.6895037871466665,-1.6843619469620388,-1.6652309678446822,-1.651724896670981,-1.6866630780441805
金江街,2023-05-04,-1.7074774930973966,-1.6992811308257638,-1.6836483268343623,-1.6671437689588269,-1.7004748507365586
金江街,2023-05-05,-1.7262270279508662,-1.7104010680872757,-1.6980825434344775,-1.6807298567630478,-1.7125793249667647
金江街,2023-05-06,-1.7629619032206316,-1.7371798088091561,-1.724282053977863,-1.7081743738409438,-1.7443903282026947
金江街,2023-05-07,-1.7726967454847051,-1.7739392589194518,-1.7614399251742479,-1.7454780320140026,-1.78070220754584
金江街,2023-05-08,-1.7726335869573513,-1.7756014441477996,-1.7628879412609673,-1.7474626581451569,-1.7784423906883584
金江街,2023-05-09,-1.7749036136519616,-1.7801405477847292,-1.7629653460726868,-1.7506011145908824,-1.7826186889501126
金江街,2023-05-10,-1.774859331451392,-1.774831788634952,-1.759177259059893,-1.7444805546703428,-1.7723074657644171
金江街,2023-05-11,-1.7615738402472838,-1.7659885263340878,-1.7521500418585243,-1.7345844919548663,-1.7680112612759198
金江街,2023-05-12,-1.7255960362725098,-1.723465979321791,-1.7182487525490624,-1.6917955394249342,-1.738573926453359
金江街,2023-05-13,-1.58110689610432,-1.5845121142247898,-1.5909368323165334,-1.5554195394838752,-1.5676671888719547
金江街,2023-05-14,-1.346118590661231,-1.3541127744139099,-1.3680933655760195,-1.3340322804435907,-1.3304172857858385
金江街,2023-05-15,-1.1720267400528042,-1.1579325347728795,-1.1498320974826408,-1.1420590872947367,-1.153235178660456
金江街,2023-05-16,-1.1343513725768413,-1.1447408316075107,-1.1140538602080208,-1.1278161270622287,-1.1566825420388407
金江街,2023-05-17,-1.1106454366735685,-1.1241853427726378,-1.0983093416033862,-1.1077938054197356,-1.1307681946208386
金江街,2023-05-18,-1.1002151382943846,-1.1099542544437677,-1.090970012055376,-1.0938335152128469,-1.124212648151005
金江街,2023-05-19,-1.0962578766547506,-1.0974813950436764,-1.0851171635618722,-1.0821279369448757,-1.120716372529632
金江街,2023-05-20,-1.0859248091663611,-1.0884498443511144,-1.0822189944457783,-1.0734261877353757,-1.1166253145359986
金江街,2023-05-21,-1.0997229291695556,-1.0929304195031089,-1.082723194193282,-1.0776702745669022,-1.1260819980978347
金江街,2023-05-22,-1.1165825756829018,-1.0966329100906729,-1.0830535892715256,-1.0836424356919674,-1.1198234866570227
金江街,2023-05-23,-1.1241094813083914,-1.1165030339285276,-1.0964253892150817,-1.1019442810592504,-1.1450911714838663
金江街,2023-05-24,-1.1289278121188853,-1.1274777778085476,-1.1010852301120089,-1.1136543706506041,-1.1529902612884053
金江街,2023-05-25,-1.1310899232094267,-1.1202665461007906,-1.0977945758616452,-1.107211607265331,-1.1393456449992494
金江街,2023-05-26,-1.1104145281478106,-1.1100368828930876,-1.0903787912542067,-1.0956502726265607,-1.1308645944783784
金江街,2023-05-27,-1.116023171583482,-1.1182306333459204,-1.0882452914514327,-1.1017380660930596,-1.1415028886092993
金江街,2023-05-28,-1.135332585412517,-1.1250048602807647,-1.096146993074772,-1.1121601728587334,-1.1433585858669455
金江街,2023-05-29,-1.1778930037974187,-1.1617797438657897,-1.1341705634844355,-1.1471440610609387,-1.1815601161121416
金江街,2023-05-30,-1.2221391137798714,-1.2024863644976276,-1.1793905257223083,-1.187424361633138,-1.2221507482454366
金江街,2023-05-31,-1.255475775352313,-1.242173782202148,-1.2228489348983838,-1.2252579815845943,-1.2662548702603795
金江街,2023-06-01,-1.288129802465573,-1.2661213113444527,-1.2512161363270204,-1.2477370749659225,-1.2913783114580222
金江街,2023-06-02,-1.2965324984224333,-1.2827403143710578,-1.2725478102217418,-1.2631516733684587,-1.3153973094602274
